,bearish,bullish,date,title,enddate,yqdopen,yqdclose6m,yqdclose30d,yqdclose7d
848,"['CSTR', 'AGCO', 'DE', 'WWE', 'FCX']","['GLD', 'NCR', 'S']",20120717,Cramer's Lightning Round - Something Is Going On At Sprint (7/16/12),20130117,"[['2012-07-17', '153.470001'], ['2012-07-17', '24.000000'], ['2012-07-17', '3.650000']]","[['2013-01-17', '163.350006'], ['2013-01-17', '27.600000'], ['2013-01-17', '5.630000']]","[['2012-08-20', '157.259995'], ['2012-08-20', '22.150000'], ['2012-08-20', '5.110000']]","[['2012-07-25', '155.669998'], ['2012-07-25', '22.410000'], ['2012-07-25', '3.370000']]"
849,"['LXK', 'HPQ']","['OSUR', 'AAPL']",20120715,Cramer's Lightning Round - Apple Will Be A Fantastic Stock For 2013 (7/13/12),20130115,"[['2012-07-16', '12.320000'], ['2012-07-16', '78.001472']]","[['2013-01-15', '7.270000'], ['2013-01-15', '63.006161']]","[['2012-08-17', '10.710000'], ['2012-08-17', '83.654213']]","[['2012-07-24', '10.560000'], ['2012-07-24', '77.231621']]"
850,[],"['UHS', 'APL', 'TJX', 'L', 'PAY', 'NKE']",20120713,Cramer's Lightning Round - TJX Is The European Equivalent Of A Dollar Store (7/12/12),20130113,"[['2012-07-13', '40.555511'], ['2012-07-13', '42.019642'], ['2012-07-13', '39.643105'], ['2012-07-13', '36.590000'], ['2012-07-13', '21.865728']]","[['2013-01-11', '50.150169'], ['2013-01-11', '41.459599'], ['2013-01-11', '41.468311'], ['2013-01-11', '31.600000'], ['2013-01-11', '24.909081']]","[['2012-08-16', '39.250103'], ['2012-08-16', '42.502914'], ['2012-08-16', '39.274788'], ['2012-08-16', '34.070000'], ['2012-08-16', '22.054205']]","[['2012-07-23', '37.818031'], ['2012-07-23', '41.475513'], ['2012-07-23', '39.226326'], ['2012-07-23', '34.689999'], ['2012-07-23', '21.605118']]"
851,"['BBY', 'TEVA', 'BTU']","['ASNA', 'PPG', 'POL', 'EPD']",20120712,Cramer's Lightning Round - Don't Wait For A Best Buy Buyout (7/11/12),20130112,"[['2012-07-12', '18.330000'], ['2012-07-12', '46.208176'], ['2012-07-12', '13.472074'], ['2012-07-12', '20.059696']]","[['2013-01-11', '16.500000'], ['2013-01-11', '65.893829'], ['2013-01-11', '20.812508'], ['2013-01-11', '21.261301']]","[['2012-08-15', '18.530001'], ['2012-08-15', '50.501236'], ['2012-08-15', '14.984631'], ['2012-08-15', '20.493235']]","[['2012-07-20', '18.830000'], ['2012-07-20', '52.263065'], ['2012-07-20', '13.744522'], ['2012-07-20', '21.001019']]"
852,"['TSCO', 'GR', 'SCSS']","['CELG', 'SBUX', 'HON', 'CMG', 'AGN', 'LULU', 'DIS']",20120711,Cramer's Lightning Round - I Still Like Lululemon (7/10/12),20130111,"[['2012-07-11', '31.660000'], ['2012-07-11', '24.061264'], ['2012-07-11', '47.752743'], ['2012-07-11', '380.470001'], ['2012-07-11', '73.726311'], ['2012-07-11', '55.900002'], ['2012-07-11', '43.869556']]","[['2013-01-11', '48.150002'], ['2013-01-11', '25.580582'], ['2013-01-11', '59.757736'], ['2013-01-11', '300.000000'], ['2013-01-11', '82.720963'], ['2013-01-11', '70.839996'], ['2013-01-11', '47.662300']]","[['2012-08-14', '35.560001'], ['2012-08-14', '21.501276'], ['2012-08-14', '51.958893'], ['2012-08-14', '296.829987'], ['2012-08-14', '79.134888'], ['2012-08-14', '57.590000'], ['2012-08-14', '46.115471']]","[['2012-07-19', '33.990002'], ['2012-07-19', '25.002312'], ['2012-07-19', '51.532047'], ['2012-07-19', '403.859985'], ['2012-07-19', '75.966728'], ['2012-07-19', '59.299999'], ['2012-07-19', '45.465832']]"
853,"['EGO', 'VELT', 'TLM', 'AXL']",['GLD'],20120710,Cramer's Lightning Round - I'm Not Going To Recommend A Gold Company (7/9/12),20130110,"[['2012-07-10', '152.149994']]","[['2013-01-10', '161.979996']]","[['2012-08-13', '155.990005']]","[['2012-07-18', '153.050003']]"
854,"['WTW', 'VIV', 'MOS', 'SID']","['ARIA', 'VZ', 'COP']",20120629,Cramer's Lightning Round - Biotech Specs Are Paying Off (6/28/12),20121229,"[['2012-06-29', '34.663784'], ['2012-06-29', '45.767513']]","[['2012-12-28', '34.212299'], ['2012-12-28', '47.843636']]","[['2012-08-03', '35.069996'], ['2012-08-03', '46.164986']]","[['2012-07-10', '35.259319'], ['2012-07-10', '43.801842']]"
855,"['F', 'LPSN']","['MCHP', 'KMR']",20120628,Cramer's Lightning Round - Stop Hectoring Me About Heckmann (6/27/12),20121228,"[['2012-06-28', '27.447737']]","[['2012-12-28', '27.943169']]","[['2012-08-02', '28.435310']]","[['2012-07-09', '27.047596']]"
856,"['CIM', 'WIN', 'BCDRF', 'SPR']","['BA', 'AEP', 'DUK', 'SO', 'KLAC', 'BMY', 'RNDY', 'ED', 'IP']",20120627,Cramer's Lightning Round - Chimera Is Chimerical (6/26/12),20121227,"[['2012-06-27', '62.772125'], ['2012-06-27', '32.478214'], ['2012-06-27', '54.984486'], ['2012-06-27', '36.633934'], ['2012-06-27', '33.104034'], ['2012-06-27', '30.005951'], ['2012-06-27', '50.141201'], ['2012-06-27', '23.266596']]","[['2012-12-27', '67.037598'], ['2012-12-27', '35.637245'], ['2012-12-27', '51.963684'], ['2012-12-27', '34.257511'], ['2012-12-27', '33.178814'], ['2012-12-27', '28.025709'], ['2012-12-27', '45.857178'], ['2012-12-27', '33.275356']]","[['2012-08-01', '63.558197'], ['2012-08-01', '34.481026'], ['2012-08-01', '53.781719'], ['2012-08-01', '37.648056'], ['2012-08-01', '34.941242'], ['2012-08-01', '30.731901'], ['2012-08-01', '52.257446'], ['2012-08-01', '26.785078']]","[['2012-07-06', '64.361748'], ['2012-07-06', '33.483715'], ['2012-07-06', '52.754189'], ['2012-07-06', '36.586769'], ['2012-07-06', '31.693449'], ['2012-07-06', '29.877285'], ['2012-07-06', '50.384441'], ['2012-07-06', '24.009939']]"
857,"['BBBY', 'BTE', 'PH', 'FTR']","['ZNGA', 'S', 'KMB']",20120626,"Cramer's Lightning Round - I Need To See A Total Breakdown In Bed, Bath And Beyond (6/25/12)",20121226,"[['2012-06-26', '5.770000'], ['2012-06-26', '3.130000'], ['2012-06-26', '66.383385']]","[['2012-12-26', '2.390000'], ['2012-12-26', '5.560000'], ['2012-12-26', '69.063416']]","[['2012-07-31', '2.950000'], ['2012-07-31', '4.360000'], ['2012-07-31', '70.642586']]","[['2012-07-05', '5.440000'], ['2012-07-05', '3.310000'], ['2012-07-05', '68.358559']]"
858,"['CAT', 'HTS', 'USO', 'AZN', 'PGH', 'NUAN', 'ATHN', 'HMA', 'ALLT']","['LLY', 'CERN', 'COP', 'NLY']",20120624,Cramer's Lightning Round - Wait For Caterpillar (6/22/12),20121224,"[['2012-06-25', '35.224800'], ['2012-06-25', '39.125000'], ['2012-06-25', '43.375946'], ['2012-06-25', '9.124940']]","[['2012-12-24', '42.560017'], ['2012-12-24', '39.259998'], ['2012-12-24', '48.992149'], ['2012-12-24', '8.267336']]","[['2012-07-30', '37.416256'], ['2012-07-30', '36.915001'], ['2012-07-30', '45.460621'], ['2012-07-30', '9.560171']]","[['2012-07-03', '36.660297'], ['2012-07-03', '41.779999'], ['2012-07-03', '46.201614'], ['2012-07-03', '9.345398']]"
859,"['CTSH', 'FTNT', 'ROSE', 'GNTX']","['LVS', 'ACN', 'ISIS', 'DRI']",20120622,Cramer's Lightning Round - Waiting On Darden (6/21/12),20121222,"[['2012-06-22', '34.121876'], ['2012-06-22', '50.385902'], ['2012-06-22', '36.376011']]","[['2012-12-21', '38.051815'], ['2012-12-21', '59.703915'], ['2012-12-21', '33.424217']]","[['2012-07-27', '28.093624'], ['2012-07-27', '52.898201'], ['2012-07-27', '38.161335']]","[['2012-07-02', '32.830662'], ['2012-07-02', '52.950722'], ['2012-07-02', '36.863064']]"
860,"['SU', 'SD']","['CSCO', 'CYBX', 'HSY', 'ROST', 'MKC', 'FCX']",20120621,Cramer's Lightning Round - 2 Go-To Food Stocks (6/20/12),20121221,"[['2012-06-21', '14.246745'], ['2012-06-21', '61.809795'], ['2012-06-21', '31.271641'], ['2012-06-21', '51.772335'], ['2012-06-21', '27.915838']]","[['2012-12-21', '17.125935'], ['2012-12-21', '65.920296'], ['2012-12-21', '25.608994'], ['2012-12-21', '58.023937'], ['2012-12-21', '28.911430']]","[['2012-07-26', '13.002990'], ['2012-07-26', '63.471424'], ['2012-07-26', '31.446562'], ['2012-07-26', '54.629196'], ['2012-07-26', '27.601511']]","[['2012-06-29', '14.448707'], ['2012-06-29', '64.004593'], ['2012-06-29', '29.531967'], ['2012-06-29', '54.381561'], ['2012-06-29', '28.829721']]"
861,"['ATVI', 'AGNC', 'C']","['NLY', 'JPM', 'DGX', 'TSCO']",20120620,Cramer's Lightning Round - Tractor Supply Is A Boudoir for Short Sellers (6/19/12),20121220,"[['2012-06-20', '9.034331'], ['2012-06-20', '31.429556'], ['2012-06-20', '51.884205'], ['2012-06-20', '42.840908']]","[['2012-12-20', '8.369402'], ['2012-12-20', '39.002747'], ['2012-12-20', '54.178295'], ['2012-12-20', '42.340538']]","[['2012-07-25', '9.576693'], ['2012-07-25', '30.578707'], ['2012-07-25', '51.880543'], ['2012-07-25', '37.412437']]","[['2012-06-28', '9.163667'], ['2012-06-28', '30.938066'], ['2012-06-28', '53.158222'], ['2012-06-28', '38.723419']]"
862,"['TIBX', 'DNDN', 'PBI', 'IDCC']","['JNJ', 'CCI', 'BA', 'AMT']",20120619,Cramer's Lightning Round - We Are Tired Of Getting Beaten Up By Tibco (6/18/12),20121219,"[['2012-06-19', '57.326561'], ['2012-06-19', '50.473953'], ['2012-06-19', '63.689213'], ['2012-06-19', '62.807507']]","[['2012-12-19', '61.779076'], ['2012-12-19', '61.729206'], ['2012-12-19', '66.754715'], ['2012-12-19', '69.974625']]","[['2012-07-24', '57.867867'], ['2012-07-24', '50.613770'], ['2012-07-24', '62.911869'], ['2012-07-24', '63.143574']]","[['2012-06-27', '57.429665'], ['2012-06-27', '50.998260'], ['2012-06-27', '62.772125'], ['2012-06-27', '63.390152']]"
863,"['TSLA', 'HES', 'CRESY', 'LNC']","['DVN', 'PNRA', 'AIG', 'T', 'CMG', 'TRV', 'MSFT', 'LMT', 'KMB']",20120617,Cramer's Lightning Round - Steve Ballmer Is Going To Redeem Himself (6/15/12),20121217,"[['2012-06-18', '52.637089'], ['2012-06-18', '29.540810'], ['2012-06-18', '26.901114'], ['2012-06-18', '414.459991'], ['2012-06-18', '55.765102'], ['2012-06-18', '25.873913'], ['2012-06-18', '71.134178'], ['2012-06-18', '67.293755']]","[['2012-12-17', '48.594868'], ['2012-12-17', '32.765827'], ['2012-12-17', '26.469736'], ['2012-12-17', '286.679993'], ['2012-12-17', '66.481400'], ['2012-12-17', '23.848120'], ['2012-12-17', '77.672195'], ['2012-12-17', '70.742661']]","[['2012-07-23', '54.006927'], ['2012-07-23', '28.762680'], ['2012-07-23', '27.045040'], ['2012-07-23', '306.010010'], ['2012-07-23', '54.589149'], ['2012-07-23', '25.388336'], ['2012-07-23', '72.938553'], ['2012-07-23', '68.846252']]","[['2012-06-26', '50.517540'], ['2012-06-26', '28.875185'], ['2012-06-26', '26.410353'], ['2012-06-26', '415.410004'], ['2012-06-26', '54.951660'], ['2012-06-26', '26.029984'], ['2012-06-26', '69.976028'], ['2012-06-26', '66.383385']]"
864,"['DWA', 'YPF', 'WNC', 'CMI']","['CY', 'MYGN', 'DIS']",20120615,Cramer's Lightning Round - Not Much Cooking At Dreamworks (6/14/12),20121215,"[['2012-06-15', '10.898354'], ['2012-06-15', '23.680000'], ['2012-06-15', '43.702507']]","[['2012-12-14', '8.836733'], ['2012-12-14', '26.950001'], ['2012-12-14', '45.862469']]","[['2012-07-20', '8.802582'], ['2012-07-20', '25.629999'], ['2012-07-20', '45.094601']]","[['2012-06-25', '10.309035'], ['2012-06-25', '22.580000'], ['2012-06-25', '43.340565']]"
865,"['CHK', 'NBR', 'DPS', 'VRTX', 'SDRL', 'EMR']","['AVT', 'DVN', 'RHT', 'ESV']",20120614,Cramer's Lightning Round - Don't Throw Avnet Away (6/13/12),20121214,"[['2012-06-14', '28.783226'], ['2012-06-14', '52.479748'], ['2012-06-14', '54.150002'], ['2012-06-14', '36.997654']]","[['2012-12-14', '28.315207'], ['2012-12-14', '48.399105'], ['2012-12-14', '50.220001'], ['2012-12-14', '49.631756']]","[['2012-07-19', '28.979792'], ['2012-07-19', '54.562275'], ['2012-07-19', '55.610001'], ['2012-07-19', '43.913895']]","[['2012-06-22', '28.886189'], ['2012-06-22', '51.369061'], ['2012-06-22', '55.009998'], ['2012-06-22', '37.603893']]"
866,['AFL'],"['BAC', 'INCY', 'TD', 'TRV']",20120613,Cramer's Lightning Round - I Don't Mind Bank Of America (6/12/12),20121213,"[['2012-06-13', '7.122880'], ['2012-06-13', '21.440001'], ['2012-06-13', '31.346586'], ['2012-06-13', '54.509571']]","[['2012-12-13', '10.032674'], ['2012-12-13', '16.540001'], ['2012-12-13', '34.257099'], ['2012-12-13', '65.621140']]","[['2012-07-18', '7.151374'], ['2012-07-18', '25.400000'], ['2012-07-18', '32.780563'], ['2012-07-18', '56.587383']]","[['2012-06-21', '7.426791'], ['2012-06-21', '22.790001'], ['2012-06-21', '31.089113'], ['2012-06-21', '55.331860']]"
867,"['NOK', 'IGT', 'LGCY', 'GRA', 'SKUL', 'SWK', 'FTR']","['VZ', 'FUN', 'ARNA', 'T']",20120612,Cramer's Lightning Round - No One Is Going To Buy Nokia (6/11/12),20121212,"[['2012-06-12', '33.493759'], ['2012-06-12', '20.587481'], ['2012-06-12', '78.800003'], ['2012-06-12', '26.410353']]","[['2012-12-12', '35.719551'], ['2012-12-12', '25.576918'], ['2012-12-12', '89.699997'], ['2012-12-12', '26.670788']]","[['2012-07-17', '36.016560'], ['2012-07-17', '24.117195'], ['2012-07-17', '110.500000'], ['2012-07-17', '27.381382']]","[['2012-06-20', '33.774567'], ['2012-06-20', '21.985912'], ['2012-06-20', '105.000000'], ['2012-06-20', '26.735012']]"
868,"['PKX', 'FIO']","['DDS', 'VMI', 'BEAM', 'INTC']",20120610,Cramer's Lightning Round - Beam Shines Its Light (6/8/12),20121210,"[['2012-06-11', '61.257313'], ['2012-06-11', '105.519135'], ['2012-06-11', '21.852112']]","[['2012-12-10', '83.069481'], ['2012-12-10', '131.022247'], ['2012-12-10', '17.206438']]","[['2012-07-16', '57.187473'], ['2012-07-16', '122.535873'], ['2012-07-16', '21.129036']]","[['2012-06-19', '64.147850'], ['2012-06-19', '110.701759'], ['2012-06-19', '23.130108']]"
869,['URI'],"['EQR', 'RDS.A', 'BRK.B', 'DUK']",20120608,Cramer's Lightning Round - I Keep Getting Heckled About Heckmann (6/7/12),20121208,"[['2012-06-08', '44.331768'], ['2012-06-08', '55.319012']]","[['2012-12-07', '39.911564'], ['2012-12-07', '52.461212']]","[['2012-07-13', '46.635029'], ['2012-07-13', '53.160427']]","[['2012-06-18', '44.353245'], ['2012-06-18', '55.629650']]"
870,"['NUE', 'HUN', 'RBC', 'STX', 'CSX', 'PDH']",['MO'],20120607,Cramer's Lightning Round - King Coal Has Been Dethroned (6/6/12),20121207,"[['2012-06-07', '25.737936']]","[['2012-12-07', '26.975525']]","[['2012-07-12', '27.943209']]","[['2012-06-15', '26.869078']]"
871,"['CREE', 'FLR', 'NXPI', 'CLNE', 'TRI']",['VVUS'],20120606,Cramer's Lightning Round - Get Out Of Cree (6/5/12),20121206,"[['2012-06-06', '23.980000']]","[['2012-12-06', '10.790000']]","[['2012-07-11', '27.490000']]","[['2012-06-14', '25.330000']]"
872,"['FSLR', 'ALGT']","['MWE', 'HTZ', 'SRE']",20120603,Cramer's Lightning Round - Hertz Has Taken Enough Pain (6/1/12),20121203,"[['2012-06-04', '11.990000'], ['2012-06-04', '54.765202']]","[['2012-12-03', '15.700000'], ['2012-12-03', '59.518070']]","[['2012-07-09', '13.030000'], ['2012-07-09', '58.822838']]","[['2012-06-12', '12.410000'], ['2012-06-12', '56.986790']]"
873,"['VMED', 'CIM', 'ODP', 'BRCD']","['HD', 'VZ', 'NLY', 'O']",20120601,Cramer's Lightning Round - Virgin On The Ridiculous (5/31/12),20121201,"[['2012-06-01', '42.952007'], ['2012-06-01', '32.003937'], ['2012-06-01', '8.703871'], ['2012-06-01', '29.576097']]","[['2012-11-30', '58.838978'], ['2012-11-30', '35.185234'], ['2012-11-30', '8.346723'], ['2012-11-30', '32.539951']]","[['2012-07-06', '46.704498'], ['2012-07-06', '35.038464'], ['2012-07-06', '9.383948'], ['2012-07-06', '33.059135']]","[['2012-06-11', '45.988022'], ['2012-06-11', '33.197361'], ['2012-06-11', '8.863771'], ['2012-06-11', '30.452442']]"
874,"['QCOM', 'CTRP', 'HIG', 'SFL', 'MPO', 'WWW']","['BUD', 'AMRN', 'AIG']",20120531,Cramer's Lightning Round - I Have Confidence In AIG (5/30/12),20121130,"[['2012-05-31', '58.528191'], ['2012-05-31', '11.850000'], ['2012-05-31', '27.356424']]","[['2012-11-30', '76.052063'], ['2012-11-30', '12.410000'], ['2012-11-30', '31.059563']]","[['2012-07-05', '67.640251'], ['2012-07-05', '15.280000'], ['2012-07-05', '29.972061']]","[['2012-06-08', '58.899937'], ['2012-06-08', '11.660000'], ['2012-06-08', '28.575180']]"
875,"['KORS', 'AAP', 'TNH', 'RLOC']","['AZO', 'ARNA', 'PPC']",20120530,Cramer's Lightning Round - I've Got Enough Problems Without Kors (5/29/12),20121130,"[['2012-05-30', '379.250000'], ['2012-05-30', '65.000000'], ['2012-05-30', '6.107453']]","[['2012-11-30', '383.769989'], ['2012-11-30', '88.599998'], ['2012-11-30', '5.396932']]","[['2012-07-03', '362.489990'], ['2012-07-03', '100.199997'], ['2012-07-03', '5.374256']]","[['2012-06-07', '383.880005'], ['2012-06-07', '64.199997'], ['2012-06-07', '6.039424']]"
876,"['GLW', 'NYX', 'FB', 'TVIX', 'GME', 'C', 'EA']","['V', 'KOG']",20120525,Cramer's Lightning Round - Corning Is A Challenged Company (5/24/12),20121125,"[['2012-05-25', '26.869781']]","[['2012-11-23', '33.882702']]","[['2012-06-29', '27.828691']]","[['2012-06-05', '25.618242']]"
877,"['SDRL', 'HPQ']","['VRTX', 'CELG', 'AAPL', 'TWI', 'INCY']",20120524,Cramer's Lightning Round - Titan Is In-Your-Face Optimistic (5/23/12),20121124,"[['2012-05-24', '64.089996'], ['2012-05-24', '34.955002'], ['2012-05-24', '72.656212'], ['2012-05-24', '23.054274'], ['2012-05-24', '22.660000']]","[['2012-11-23', '41.459999'], ['2012-11-23', '39.255001'], ['2012-11-23', '74.102760'], ['2012-11-23', '19.472683'], ['2012-11-23', '18.299999']]","[['2012-06-28', '51.180000'], ['2012-06-28', '31.025000'], ['2012-06-28', '73.135612'], ['2012-06-28', '23.118956'], ['2012-06-28', '22.350000']]","[['2012-06-04', '57.700001'], ['2012-06-04', '32.445000'], ['2012-06-04', '72.523842'], ['2012-06-04', '20.491585'], ['2012-06-04', '20.830000']]"
878,"['FCX', 'LYB', 'MTL', 'KKD']","['DNKN', 'TKR']",20120523,"Cramer's Lightning Round - Industrial America Is Doing Well, But Nobody Cares (5/22/12)",20121123,"[['2012-05-23', '29.114182'], ['2012-05-23', '32.709419']]","[['2012-11-23', '27.484371'], ['2012-11-23', '26.050747']]","[['2012-06-27', '31.095585'], ['2012-06-27', '27.482239']]","[['2012-06-01', '27.918200'], ['2012-06-01', '29.043434']]"
879,"['PLCM', 'BNNY', 'TOT']","['NOV', 'RGR', 'OPK', 'HAIN']",20120522,Cramer's Lightning Round - National Oilwell Varco Is Almost A Monopoly (5/21/12),20121122,"[['2012-05-22', '54.184315'], ['2012-05-22', '34.580681'], ['2012-05-22', '4.620000'], ['2012-05-22', '26.840000']]","[['2012-11-21', '58.327366'], ['2012-11-21', '46.490101'], ['2012-11-21', '4.450000'], ['2012-11-21', '30.754999']]","[['2012-06-26', '49.539227'], ['2012-06-26', '31.936529'], ['2012-06-26', '4.600000'], ['2012-06-26', '25.650000']]","[['2012-05-31', '54.200554'], ['2012-05-31', '33.564362'], ['2012-05-31', '4.600000'], ['2012-05-31', '27.745001']]"
880,"['SPN', 'DLB', 'MGM', 'RPAI']","['PEP', 'VHC', 'FRT', 'LVS']",20120517,Cramer's Lightning Round - The Greatest Speculative Stock Of All Time (5/16/12),20121117,"[['2012-05-17', '58.746460'], ['2012-05-17', '28.980000'], ['2012-05-17', '82.890884'], ['2012-05-17', '35.824989']]","[['2012-11-16', '59.249657'], ['2012-11-16', '31.049999'], ['2012-11-16', '87.745651'], ['2012-11-16', '32.470142']]","[['2012-06-21', '58.973442'], ['2012-06-21', '32.689999'], ['2012-06-21', '86.813736'], ['2012-06-21', '34.190643']]","[['2012-05-25', '58.635395'], ['2012-05-25', '30.120001'], ['2012-05-25', '84.712471'], ['2012-05-25', '36.410046']]"
881,"['MCD', 'TSCO', 'DISH', 'CLMT', 'CAR']","['ETP', 'DTV']",20120516,Cramer's Lightning Round - McDonald's Informed Downgrade (5/15/12),20121116,"[['2012-05-16', '8.774865']]","[['2012-11-16', '12.707208']]","[['2012-06-20', '8.082301']]","[['2012-05-24', '8.134125']]"
882,"['CLNE', 'NEM', 'MDRX', 'TIBX']","['DPZ', 'AXL']",20120515,Cramer's Lightning Round - Slim Pickens For Clean Energy Fuels (5/14/12),20121115,"[['2012-05-15', '30.614399'], ['2012-05-15', '9.160000']]","[['2012-11-15', '37.653065'], ['2012-11-15', '9.430000']]","[['2012-06-19', '28.542534'], ['2012-06-19', '10.110000']]","[['2012-05-23', '29.261536'], ['2012-05-23', '9.190000']]"
883,"['UPL', 'BGCP', 'BRCD', 'ERF']","['CCE', 'HBAN']",20120513,Cramer's Lightning Round - Huntington Is Good For A Bank (5/11/12),20121113,"[['2012-05-14', '18.226170'], ['2012-05-14', '5.593009']]","[['2012-11-13', '19.248724'], ['2012-11-13', '5.404955']]","[['2012-06-18', '17.090967'], ['2012-06-18', '5.541504']]","[['2012-05-22', '17.322136'], ['2012-05-22', '5.487812']]"
884,"['HPQ', 'PAAS', 'CHKR', 'DE']","['PRU', 'HERO']",20120511,Cramer's Lightning Round - I Really Don't Like Hewlett-Packard (5/10/12),20121111,"[['2012-05-11', '43.529079']]","[['2012-11-09', '44.543148']]","[['2012-06-15', '41.061497']]","[['2012-05-21', '39.455883']]"
885,"['NILE', 'ZNGA', 'APU', 'WWE']",['INTC'],20120510,Cramer's Lightning Round - Death On Blue Nile (5/9/12),20121110,"[['2012-05-10', '22.903099']]","[['2012-11-09', '17.823400']]","[['2012-06-14', '22.684492']]","[['2012-05-18', '21.919373']]"
886,"['SCHL', 'ARMH']","['CLF', 'LSI-OLD', 'TWX']",20120508,Cramer's Lightning Round - People Don't Understand LSI Corporation (5/7/12),20121108,"[['2012-05-08', '51.669178'], ['2012-05-08', '30.606054']]","[['2012-11-08', '32.550514'], ['2012-11-08', '38.369713']]","[['2012-06-12', '43.904236'], ['2012-06-12', '30.526064']]","[['2012-05-16', '46.762611'], ['2012-05-16', '30.245884']]"
887,"['MDRX', 'SPPI']","['RNDY', 'DUK']",20120429,Cramer's Lightning Round - Don't Worry About Duke (4/27/12),20121029,"[['2012-04-30', '50.618420']]","[['2012-10-26', '52.450424']]","[['2012-06-04', '53.717991']]","[['2012-05-08', '50.901863']]"
888,"['HAS', 'JCP']","['EPB', 'AFL', 'KORS', 'CLNE']",20120427,Cramer's Lightning Round - Don't Play With Hasbro (4/26/12),20121027,"[['2012-04-27', '39.325439'], ['2012-04-27', '45.900002'], ['2012-04-27', '19.360001']]","[['2012-10-26', '43.811131'], ['2012-10-26', '54.490002'], ['2012-10-26', '12.110000']]","[['2012-06-01', '33.907131'], ['2012-06-01', '37.759998'], ['2012-06-01', '12.860000']]","[['2012-05-07', '38.080463'], ['2012-05-07', '44.099998'], ['2012-05-07', '17.940001']]"
889,"['BIDU', 'SQNM', 'SNY', 'MAIN', 'GES', 'OCZ', 'AMD', 'MU']","['SBUX', 'BYD', 'LVS', 'SDR', 'SAM', 'PEET', 'GWW']",20120426,Cramer's Lightning Round - There Are No Chinese Stocks I Like (4/25/12),20121026,"[['2012-04-26', '27.896669'], ['2012-04-26', '7.898934'], ['2012-04-26', '43.286316'], ['2012-04-26', '7.263105'], ['2012-04-26', '100.610001'], ['2012-04-26', '74.690002'], ['2012-04-26', '188.516937']]","[['2012-10-26', '21.241941'], ['2012-10-26', '6.066143'], ['2012-10-26', '35.312344'], ['2012-10-26', '6.572144'], ['2012-10-26', '105.750000'], ['2012-10-26', '73.459999'], ['2012-10-26', '179.136414']]","[['2012-05-31', '25.320606'], ['2012-05-31', '7.590149'], ['2012-05-31', '35.087978'], ['2012-05-31', '6.514837'], ['2012-05-31', '104.849998'], ['2012-05-31', '59.580002'], ['2012-05-31', '174.981552']]","[['2012-05-04', '25.551256'], ['2012-05-04', '7.231559'], ['2012-05-04', '41.128448'], ['2012-05-04', '7.170805'], ['2012-05-04', '109.419998'], ['2012-05-04', '64.129997'], ['2012-05-04', '181.577835']]"
890,"['ARAY', 'SVU']","['ALSN', 'ISRG']",20120425,Cramer's Lightning Round - The Only Supermarket Stock I Want To Own (4/24/12),20121025,"[['2012-04-25', '18.887817'], ['2012-04-25', '191.833328']]","[['2012-10-25', '17.949017'], ['2012-10-25', '181.876663']]","[['2012-05-30', '16.955956'], ['2012-05-30', '177.183334']]","[['2012-05-03', '18.162758'], ['2012-05-03', '192.789993']]"
891,"['S', 'GCI', 'FARO', 'HES']","['VZ', 'PGH', 'T']",20120424,"Cramer's Lightning Round - AT&T Is Good, Verizon Is Better (4/23/12)",20121024,"[['2012-04-24', '30.810528'], ['2012-04-24', '6.419168'], ['2012-04-24', '23.949015']]","[['2012-10-24', '35.272957'], ['2012-10-24', '4.744874'], ['2012-10-24', '26.840912']]","[['2012-05-29', '32.565544'], ['2012-05-29', '5.457774'], ['2012-05-29', '25.625145']]","[['2012-05-02', '31.668535'], ['2012-05-02', '6.761722'], ['2012-05-02', '24.945633']]"
892,"['JNPR', 'STZ', 'FUN']","['BECN', 'WMT', 'DLTR', 'COST']",20120422,Cramer's Lightning Round - Juniper Doesn't Know How To Be Upbeat (4/20/12),20121022,"[['2012-04-23', '24.650000'], ['2012-04-23', '51.605671'], ['2012-04-23', '49.445000'], ['2012-04-23', '70.759689']]","[['2012-10-22', '29.990000'], ['2012-10-22', '66.370804'], ['2012-10-22', '38.980000'], ['2012-10-22', '78.086250']]","[['2012-05-25', '24.379999'], ['2012-05-25', '56.990879'], ['2012-05-25', '51.099998'], ['2012-05-25', '69.239876']]","[['2012-05-01', '26.840000'], ['2012-05-01', '51.198311'], ['2012-05-01', '51.025002'], ['2012-05-01', '71.045609']]"
893,['MU'],"['KMP', 'BDX', 'DVN', 'ETP']",20120420,Cramer's Lightning Round - Sometimes You Have To Buy Poorly Acting Stocks (4/19/12),20121020,"[['2012-04-20', '68.981140'], ['2012-04-20', '60.165024'], ['2012-04-20', '8.781295']]","[['2012-10-19', '69.109169'], ['2012-10-19', '57.575207'], ['2012-10-19', '12.100453']]","[['2012-05-24', '67.437790'], ['2012-05-24', '55.737732'], ['2012-05-24', '8.134125']]","[['2012-04-30', '70.804276'], ['2012-04-30', '64.426300'], ['2012-04-30', '9.064201']]"
