,bearish,bullish,date,title,yqdopen,yqdclose7d,yqdclose30d,yqdclose6m,dayreturn7d,dayreturn30d,dayreturn6m,indreturn7d,indreturn30d,indreturn6m,enddate
20,"['XYL', 'PNR', 'MELI']","['HFC', 'QCOM', 'DPZ', 'INCY', 'NXPI']",6/14/17,Don't Sell Domino's - Cramer's Lightning Round (6/13/17),"[['2017-06-14', '24.928991'], ['2017-06-14', '56.385441'], ['2017-06-14', '210.046295'], ['2017-06-14', '120.089996'], ['2017-06-14', '109.269997']]","[['2017-06-22', '26.312288'], ['2017-06-22', '55.851360'], ['2017-06-22', '217.557922'], ['2017-06-22', '135.630005'], ['2017-06-22', '109.500000']]","[['2017-07-19', '27.409046'], ['2017-07-19', '56.157963'], ['2017-07-19', '212.001526'], ['2017-07-19', '130.449997'], ['2017-07-19', '109.599998']]","[['2017-10-20', '36.615002'], ['2017-10-20', '52.035000'], ['2017-10-20', '186.229996'], ['2017-10-20', '114.000000'], ['2017-10-20', '115.839996']]",0.046341261,0.028609981,-0.030728038,"[0.055489490128180434, -0.009471966353867845, 0.0357617686139144, 0.12940302704315196, 0.002104905338287841]","[0.09948477256861299, -0.004034339289817701, 0.009308571712726598, 0.08626864305999309, 0.003020051332114485]","[0.46877192101357, -0.07715539548586671, -0.11338595141609134, -0.05071193440625978, 0.06012628516865426]",12/14/17
21,['CC'],"['ESNT', 'MGP', 'CARA', 'SCHW']",6/13/17,Charles Schwab Will Go Up With Higher Interest Rates - Cramer's Lightning Round (6/12/17),"[['2017-06-13', '37.169998'], ['2017-06-13', '27.972130'], ['2017-06-13', '17.440001'], ['2017-06-13', '41.971252']]","[['2017-06-21', '36.230000'], ['2017-06-21', '28.390932'], ['2017-06-21', '19.500000'], ['2017-06-21', '41.671818']]","[['2017-07-18', '39.070000'], ['2017-07-18', '28.163158'], ['2017-07-18', '15.150000'], ['2017-07-18', '42.779739']]","[['2017-10-20', '44.619999'], ['2017-10-20', '29.219999'], ['2017-10-20', '12.336800'], ['2017-10-20', '44.615002']]",0.009950505,0.004893613,0.050086308,"[-0.025289159283785886, 0.014972116889203626, 0.11811920194270639, -0.00713426418635303]","[0.051116548351710984, 0.006829226090397811, -0.13130738925989732, 0.019262875455800067]","[0.20043049235568966, 0.044611154030815725, -0.2926147194601651, 0.06298954341414445]",12/13/17
22,"['MZOR', 'TSE', 'AXTA', 'IGT']","['NDAQ', 'TIF', 'DIS', 'SKX']",6/12/17,Skechers Is Inexpensive - Cramer's Lightning Round (6/9/17),"[['2017-06-12', '69.669762'], ['2017-06-12', '92.110703'], ['2017-06-12', '106.249588'], ['2017-06-12', '27.290001']]","[['2017-06-20', '69.912727'], ['2017-06-20', '91.764297'], ['2017-06-20', '103.172485'], ['2017-06-20', '26.350000']]","[['2017-07-17', '71.126526'], ['2017-07-17', '91.644974'], ['2017-07-17', '104.790001'], ['2017-07-17', '28.670000']]","[['2017-10-20', '72.940002'], ['2017-10-20', '94.419998'], ['2017-10-20', '99.275002'], ['2017-10-20', '33.815399']]",-0.013952811,0.003086302,0.017372159,"[0.0034873809386631476, -0.0037607573139464777, -0.028961081712618107, -0.03444488697526976]","[0.020909559013564488, -0.005056187661492455, -0.013737342680331137, 0.050567935120266264]","[0.04693915848313076, 0.02507086500034644, -0.06564341689494364, 0.23911314623989935]",12/12/17
23,['NOK'],"['VVV', 'BUD', 'DAR', 'STZ', 'ADI', 'GD', 'TAP', 'HII']",6/9/17,The Move In BlackBerry Is Done - Cramer's Lightning Round (6/8/17),"[['2017-06-09', '23.096745'], ['2017-06-09', '113.500000'], ['2017-06-09', '15.860000'], ['2017-06-09', '180.514389'], ['2017-06-09', '78.171326'], ['2017-06-09', '197.841156'], ['2017-06-09', '86.999580'], ['2017-06-09', '192.911179']]","[['2017-06-19', '23.505800'], ['2017-06-19', '114.150002'], ['2017-06-19', '16.290001'], ['2017-06-19', '182.788269'], ['2017-06-19', '79.931671'], ['2017-06-19', '202.849930'], ['2017-06-19', '86.183334'], ['2017-06-19', '186.619415']]","[['2017-07-14', '22.827366'], ['2017-07-14', '114.290001'], ['2017-07-14', '16.629999'], ['2017-07-14', '197.787933'], ['2017-07-14', '81.105240'], ['2017-07-14', '200.350342'], ['2017-07-14', '87.487328'], ['2017-07-14', '197.577667']]","[['2017-10-20', '24.010000'], ['2017-10-20', '125.529999'], ['2017-10-20', '17.580000'], ['2017-10-20', '211.649994'], ['2017-10-20', '88.959999'], ['2017-10-20', '213.339996'], ['2017-10-20', '83.059998'], ['2017-10-20', '235.339996']]",0.003852029,0.032806486,0.12439679,"[0.01771050422905921, 0.005726889867841416, 0.02711229508196726, 0.012596668955847169, 0.022519062808273215, 0.02531714887472649, -0.009382183224332721, -0.03261482321872078]","[-0.011663072004301783, 0.006960361233480209, 0.04854974779319055, 0.09569067649227683, 0.037531843837470553, 0.012682831270961637, 0.005606325915596495, 0.024189826759598968]","[0.0395404200894976, 0.10599118061674012, 0.1084489281210592, 0.17248267671337822, 0.1380131763403886, 0.07833981722185246, -0.04528277033061541, 0.21993964901329024]",12/9/17
24,"['XRX', 'HUN']","['ALR', 'ABT', 'XLNX']",6/8/17,Xerox Has No Positive Catalysts - Cramer's Lightning Round (6/7/17),"[['2017-06-08', '46.236702'], ['2017-06-08', '67.696747']]","[['2017-06-16', '47.711285'], ['2017-06-16', '64.385010']]","[['2017-07-13', '47.845963'], ['2017-07-13', '67.477951']]","[['2017-10-20', '56.384998'], ['2017-10-20', '72.214996']]",-0.016124799,0.012204186,0.128729053,"[0.0318920454144847, -0.04892017928128818]","[0.03480483967044182, -0.0032320016794898216]","[0.2194857237006221, 0.06674248320971755]",12/8/17
25,"['TDOC', 'SRPT', 'NBR', 'PPC', 'TSN', 'ETP', 'WATT', 'PBYI']","['SIRI', 'SHOP']",6/7/17,Teladoc Is Heavily Shorted - Cramer's Lightning Round (6/6/17),"[['2017-06-07', '5.310500'], ['2017-06-07', '96.989998']]","[['2017-06-15', '5.170750'], ['2017-06-15', '85.480003']]","[['2017-07-12', '5.400339'], ['2017-07-12', '94.680000']]","[['2017-10-20', '5.755000'], ['2017-10-20', '101.800003']]",-0.113877696,-0.021702328,0.051363435,"[-0.026315789473684258, -0.11867197893951914]","[0.016917239431315234, -0.023816868209441483]","[0.08370209961397225, 0.04959279409408797]",12/7/17
26,"['WIN', 'FANG', 'RDUS', 'GILD']","['MU', 'CRL', 'AMD']",6/5/17,Charles River Laboratories Is A Good Buy - Cramer's Lightning Round (6/2/17),"[['2017-06-05', '31.209999'], ['2017-06-05', '93.610001'], ['2017-06-05', '11.240000']]","[['2017-06-13', '31.540001'], ['2017-06-13', '94.139999'], ['2017-06-13', '11.960000']]","[['2017-07-10', '30.500000'], ['2017-07-10', '99.250000'], ['2017-07-10', '13.810000']]","[['2017-10-20', '41.735001'], ['2017-10-20', '115.135002'], ['2017-10-20', '13.875000']]",0.011612524,0.05512274,0.25492432,"[0.010573598544492115, 0.005661766844762732, 0.06405693950177942]","[-0.02274908756004766, 0.0602499619672048, 0.22864768683274023]","[0.3372317314076171, 0.22994339034351685, 0.2344306049822064]",12/5/17
27,"['LITE', 'MOMO', 'BABA', 'MB', 'GWPH']","['LRCX', 'AMAT']",6/1/17,Yahoo Is Worth More In Parts - Cramer's Lightning Round (5/31/17),"[['2017-06-01', '155.583496'], ['2017-06-01', '45.893787']]","[['2017-06-09', '157.362244'], ['2017-06-09', '44.636700']]","[['2017-07-06', '143.509018'], ['2017-07-06', '42.012772']]","[['2017-10-20', '204.923203'], ['2017-10-20', '55.830002']]",0.00258918,-0.079192516,0.294206479,"[0.01143275505263108, -0.027391224001628054]","[-0.07760770461154826, -0.08456515039824464]","[0.31712686929210027, 0.21650457827766525]",12/1/17
28,"['KR', 'CBI', 'DDD', 'ARNC', 'CWH', 'DY']","['TWTR', 'SQ']",5/31/17,Square Has A Good Product - Cramer's Lightning Round (5/30/17),"[['2017-05-31', '18.320000'], ['2017-05-31', '22.990000']]","[['2017-06-08', '17.590000'], ['2017-06-08', '24.780001']]","[['2017-07-05', '17.820000'], ['2017-07-05', '23.760000']]","[['2017-10-20', '17.940001'], ['2017-10-20', '32.570000']]",0.025659671,0.006535948,0.222706391,"[-0.039847161572052425, 0.07785998260113094]","[-0.027292576419213975, 0.03349282296650732]","[-0.020742303493449864, 0.41670291431056994]",11/30/17
29,"['IONS', 'GIII', 'PVH', 'CVI', 'VFC']","['TWLO', 'BRK.A', 'DOV', 'BRK.B']",5/26/17,Dover Is A Great American Company - Cramer's Lightning Round (5/25/17),"[['2017-05-26', '25.010000'], ['2017-05-26', '82.041016']]","[['2017-06-06', '25.540001'], ['2017-06-06', '83.244286']]","[['2017-06-30', '29.110001'], ['2017-06-30', '79.773705']]","[['2017-10-20', '32.439999'], ['2017-10-20', '94.769997']]",0.016191075,0.017119781,0.188311898,"[0.021191563374650082, 0.014666688184358949]","[0.16393446621351454, -0.027636310598591226]","[0.29708112754898036, 0.15515386840162979]",11/26/17
30,"['TEVA', 'TRIP', 'EXPE', 'LL', 'HD', 'CHRW', 'FDX']","['FL', 'CARA', 'NGG']",5/25/17,Foot Locker Has Upside - Cramer's Lightning Round (5/24/17),"[['2017-05-25', '58.719219'], ['2017-05-25', '16.709999'], ['2017-05-25', '68.778046']]","[['2017-06-05', '56.691704'], ['2017-06-05', '18.200001'], ['2017-06-05', '67.510002']]","[['2017-06-29', '47.932045'], ['2017-06-29', '25.510000'], ['2017-06-29', '62.930000']]","[['2017-10-20', '31.264999'], ['2017-10-20', '12.336800'], ['2017-10-20', '61.867699']]",-0.012520569,-0.05433304,-0.268625622,"[-0.03452898445396559, 0.08916828780181259, -0.018436755240182356]","[-0.18370772267934968, 0.5266308513842521, -0.08502780087704154]","[-0.4675508371458415, -0.26171150578764246, -0.10047315098192817]",11/25/17
31,['CYH'],"['EBAY', 'SHOP', 'EXC', 'LDOS', 'GD', 'CG']",5/24/17,Buy eBay - Cramer's Lightning Round (5/23/17),"[['2017-05-24', '34.820000'], ['2017-05-24', '90.809998'], ['2017-05-24', '35.498775'], ['2017-05-24', '54.274063'], ['2017-05-24', '198.347000'], ['2017-05-24', '17.438841']]","[['2017-06-02', '35.320000'], ['2017-06-02', '97.529999'], ['2017-06-02', '36.281906'], ['2017-06-02', '55.312088'], ['2017-06-02', '202.036621'], ['2017-06-02', '17.438841']]","[['2017-06-28', '35.310001'], ['2017-06-28', '89.519997'], ['2017-06-28', '35.875469'], ['2017-06-28', '51.983006'], ['2017-06-28', '199.190063'], ['2017-06-28', '19.300291']]","[['2017-10-20', '37.654999'], ['2017-10-20', '101.785698'], ['2017-10-20', '39.474998'], ['2017-10-20', '62.220001'], ['2017-10-20', '213.339996'], ['2017-10-20', '24.400000']]",0.029524843,-2.28E-05,0.110594312,"[0.014359563469270534, 0.07400067336197949, 0.022060789421606726, 0.01912561806916878, 0.01860184928433497, 0.0]","[0.014072400919012046, -0.014205495302400398, 0.010611464761812218, -0.04221274165525428, 0.00425044492732434, 0.10674161201423887]","[0.08141869615163688, 0.12086444490396316, 0.11201014682901021, 0.14640396463408323, 0.07558972911110329, 0.3991755530083678]",11/24/17
32,"['FCX', 'NRZ', 'RRC', 'NTNX', 'CRM']","['EXAS', 'AZN', 'SPLK']",5/23/17,Don't Give Up On Splunk - Cramer's Lightning Round (5/22/17),"[['2017-05-23', '31.900000'], ['2017-05-23', '33.564507'], ['2017-05-23', '66.430000']]","[['2017-06-01', '38.240002'], ['2017-06-01', '34.283463'], ['2017-06-01', '61.599998']]","[['2017-06-27', '34.090000'], ['2017-06-27', '34.047092'], ['2017-06-27', '56.090000']]","[['2017-10-20', '49.099998'], ['2017-10-20', '34.650600'], ['2017-10-20', '64.040001']]",0.016899536,-0.058132936,0.120521259,"[0.19874614420062692, 0.0214201269215722, -0.07270814391088375]","[0.06865203761755502, 0.014377836683255926, -0.15565256661147076]","[0.5391848902821317, 0.032358377854320886, -0.03597770585578809]",11/23/17
33,"['GILD', 'INCY', 'QRVO']",['SKT'],5/22/17,Gilead Should Buy Incyte - Cramer's Lightning Round (5/19/17),"[['2017-05-22', '25.634193']]","[['2017-05-31', '25.732939']]","[['2017-06-26', '25.515701']]","[['2017-10-20', '25.200001']]",0.00385212,-0.00462242,-0.016938002,[0.0038521204861022324],[-0.00462241975005805],[-0.01693800152007904],11/22/17
34,"['ALXN', 'INCY', 'X', 'NUE']","['CBSH', 'BDX', 'RAD', 'GIS', 'WBA']",5/19/17,Walgreens Boots Alliance Is A Win-Win - Cramer's Lightning Round (5/18/17),"[['2017-05-19', '53.668770'], ['2017-05-19', '182.757462'], ['2017-05-19', '3.460000'], ['2017-05-19', '55.203087'], ['2017-05-19', '80.212563']]","[['2017-05-30', '53.430767'], ['2017-05-30', '186.668076'], ['2017-05-30', '3.460000'], ['2017-05-30', '55.536880'], ['2017-05-30', '79.764786']]","[['2017-06-23', '55.416702'], ['2017-06-23', '194.434937'], ['2017-06-23', '3.110000'], ['2017-06-23', '54.918385'], ['2017-06-23', '75.963608']]","[['2017-10-20', '57.860001'], ['2017-10-20', '211.491196'], ['2017-10-20', '1.790000'], ['2017-10-20', '51.994999'], ['2017-10-20', '67.889999']]",0.009482039,0.022759678,0.041897773,"[-0.004434664703513776, 0.021397834907556385, 0.0, 0.006046636486108105, -0.005582379907247224]","[0.03256888503313936, 0.0638960230253142, -0.10115606936416188, -0.00515735650797927, -0.052971191058936856]","[0.07809441133083532, 0.15722331490902405, -0.48265895953757226, -0.05811428625359297, -0.15362386562813107]",11/19/17
35,"['GILD', 'HCLP', 'TISI', 'XON']","['FUN', 'ARNC', 'BMY']",5/8/17,Gilead Sciences Is A Value Trap - Cramer's Lightning Round (5/5/17),"[['2017-05-08', '68.305023'], ['2017-05-08', '27.015266'], ['2017-05-08', '54.230545']]","[['2017-05-16', '68.451393'], ['2017-05-16', '27.344479'], ['2017-05-16', '53.687645']]","[['2017-06-12', '69.779350'], ['2017-06-12', '26.755888'], ['2017-06-12', '53.658035']]","[['2017-10-20', '63.518501'], ['2017-10-20', '27.084999'], ['2017-10-20', '64.440002']]",-0.000450128,0.00429579,0.036727766,"[0.00214288779318602, 0.012186183915420241, -0.010010963378664108]","[0.021584459462080673, -0.009601164023334127, -0.010556965636248007]","[-0.0700756956044068, 0.00258124424908492, 0.18826026918962382]",11/8/17
36,"['CC', 'GIS']","['SHOP', 'MO', 'RHT']",5/5/17,Hold On To Altria - Cramer's Lightning Round (5/4/17),"[['2017-05-05', '85.529999'], ['2017-05-05', '69.603508'], ['2017-05-05', '88.610001']]","[['2017-05-15', '94.239998'], ['2017-05-15', '69.358147'], ['2017-05-15', '89.660004']]","[['2017-06-09', '91.449997'], ['2017-06-09', '74.059227'], ['2017-06-09', '88.849998']]","[['2017-10-20', '101.800003'], ['2017-10-20', '64.769997'], ['2017-10-20', '121.849998']]",0.039035464,0.043552807,0.183293046,"[0.10183560273396, -0.0035251240497821256, 0.011849712088368037]","[0.06921545737420144, 0.06401572460974239, 0.00270846402540953]","[0.19022570080937332, -0.06944349701454704, 0.37512692274995013]",11/5/17
37,"['VLO', 'CCO']","['SWKS', 'AUPH', 'SLB', 'DRI']",5/3/17,"Patience With Schlumberger, Skyworks - Cramer's Lightning Round (5/2/17)","[['2017-05-03', '100.835220'], ['2017-05-03', '7.260000'], ['2017-05-03', '70.460609'], ['2017-05-03', '86.122925']]","[['2017-05-11', '102.008301'], ['2017-05-11', '7.530000'], ['2017-05-11', '70.706871'], ['2017-05-11', '86.911057']]","[['2017-06-07', '109.135826'], ['2017-06-07', '6.200000'], ['2017-06-07', '68.129379'], ['2017-06-07', '90.684227']]","[['2017-10-20', '105.082497'], ['2017-10-20', '6.160000'], ['2017-10-20', '62.759998'], ['2017-10-20', '82.735001']]",0.009360309,0.035781784,-0.030003383,"[0.011633643482902066, 0.03719008264462816, 0.0034950308192766475, 0.009151245153366593]","[0.08231851926340804, -0.14600550964187323, -0.03308557835485079, 0.05296269256995176]","[0.04212096725727377, -0.15151515151515146, -0.10928958902413122, -0.039338236596121165]",11/3/17
38,"['AMGN', 'MITK', 'HPE']","['ALK', 'BRKS', 'LUV']",5/2/17,Alaska Air Is A Good Buy - Cramer's Lightning Round (5/1/17),"[['2017-05-02', '85.854446'], ['2017-05-02', '25.884750'], ['2017-05-02', '58.073303']]","[['2017-05-10', '82.578705'], ['2017-05-10', '27.502544'], ['2017-05-10', '58.113125']]","[['2017-06-06', '88.865578'], ['2017-06-06', '28.429338'], ['2017-06-06', '59.959682']]","[['2017-10-20', '79.650002'], ['2017-10-20', '32.090000'], ['2017-10-20', '59.187500']]",-0.009528892,0.04382539,0.006566083,"[-0.0381545878241413, 0.06249988893074107, 0.0006857195637725962]","[0.0350725226274246, 0.09830452293338746, 0.032482722740946865]","[-0.07226700874640779, 0.23972609354929073, 0.019186044919814484]",11/2/17
39,"['X', 'NUE', 'DLTH', 'BMY', 'AKS', 'LKQ', 'SNA']","['AMT', 'LUV', 'CCI', 'HA', 'AWK']",4/28/17,Nucor Is The Best Steel Stock - Cramer's Lightning Round (4/27/17),"[['2017-04-28', '124.708496'], ['2017-04-28', '55.972591'], ['2017-04-28', '92.871704'], ['2017-04-28', '54.299999'], ['2017-04-28', '78.935486']]","[['2017-05-08', '127.609840'], ['2017-05-08', '57.227043'], ['2017-05-08', '93.617813'], ['2017-05-08', '53.099998'], ['2017-05-08', '76.178085']]","[['2017-06-02', '131.194443'], ['2017-06-02', '60.094368'], ['2017-06-02', '102.679184'], ['2017-06-02', '51.799999'], ['2017-06-02', '78.595642']]","[['2017-10-20', '138.961899'], ['2017-10-20', '59.187500'], ['2017-10-20', '104.820000'], ['2017-10-20', '41.575001'], ['2017-10-20', '87.440002']]",0.002321854,0.043205178,0.061939165,"[0.023265006740198428, 0.022411897994859674, 0.008033760207522457, -0.022099466337006754, -0.03493233702266686]","[0.05200886233124013, 0.0736392031592749, 0.1056024556198518, -0.04604051650166697, -0.004305338666059513]","[0.11429376070736987, 0.057437201718962744, 0.12865378242656128, -0.23434619216107166, 0.10774008536540852]",10/28/17
40,['ETP'],"['MU', 'WING', 'BWLD', 'SNY', 'APO', 'BX', 'NI', 'REGN']",4/27/17,Wingstop Over B-Dubs - Cramer's Lightning Round (4/26/17),"[['2017-04-27', '27.629999'], ['2017-04-27', '29.445887'], ['2017-04-27', '156.399994'], ['2017-04-27', '45.420628'], ['2017-04-27', '26.232193'], ['2017-04-27', '30.485111'], ['2017-04-27', '24.199194'], ['2017-04-27', '366.619995']]","[['2017-05-05', '28.200001'], ['2017-05-05', '32.219849'], ['2017-05-05', '160.350006'], ['2017-05-05', '47.560463'], ['2017-05-05', '25.508879'], ['2017-05-05', '29.805916'], ['2017-05-05', '24.368071'], ['2017-05-05', '429.000000']]","[['2017-06-01', '30.760000'], ['2017-06-01', '28.817255'], ['2017-06-01', '149.750000'], ['2017-06-01', '49.279999'], ['2017-06-01', '26.907499'], ['2017-06-01', '32.926285'], ['2017-06-01', '26.066782'], ['2017-06-01', '466.019989']]","[['2017-10-20', '41.740002'], ['2017-10-20', '32.939999'], ['2017-10-20', '107.599998'], ['2017-10-20', '49.500000'], ['2017-10-20', '32.150002'], ['2017-10-20', '34.599998'], ['2017-10-20', '26.575001'], ['2017-10-20', '431.000000']]",0.099910655,0.147352697,0.070313815,"[0.020629823403178506, 0.09420541483433678, 0.025255832170939952, 0.04711152386532388, -0.027573523875796372, -0.022279564604504802, 0.006978620858198912, 0.17014894400399513]","[0.11328270406379674, -0.021348720111572787, -0.04251914485367559, 0.08496956492983751, 0.02574340620321003, 0.08007758279115336, 0.0771756282461309, 0.2711254032939474]","[0.5106769276394109, 0.1186621411676273, -0.3120204467527025, 0.08981320117370459, 0.2255933768099374, 0.13498022034428542, 0.09817711284103106, 0.1756041838361816]",10/27/17
41,['MGA'],"['BAC', 'WYN', 'ILG', 'S', 'SAGE', 'TMUS', 'VAC']",4/26/17,Buy Bank Of America - Cramer's Lightning Round (4/25/17),"[['2017-04-26', '23.690613'], ['2017-04-26', '99.350868'], ['2017-04-26', '24.095863'], ['2017-04-26', '8.910000'], ['2017-04-26', '72.160004'], ['2017-04-26', '67.580002'], ['2017-04-26', '109.763145']]","[['2017-05-04', '23.650948'], ['2017-05-04', '94.498940'], ['2017-05-04', '24.085974'], ['2017-05-04', '7.940000'], ['2017-05-04', '70.050003'], ['2017-05-04', '65.480003'], ['2017-05-04', '120.515862']]","[['2017-05-31', '22.295954'], ['2017-05-31', '100.396599'], ['2017-05-31', '26.636951'], ['2017-05-31', '8.490000'], ['2017-05-31', '66.110001'], ['2017-05-31', '67.419998'], ['2017-05-31', '116.156197']]","[['2017-10-20', '27.146000'], ['2017-10-20', '108.970001'], ['2017-10-20', '29.260000'], ['2017-10-20', '6.915000'], ['2017-10-20', '63.099998'], ['2017-10-20', '60.415001'], ['2017-10-20', '127.050003']]",0.001655121,0.004821114,0.042671648,"[-0.0016742918387126326, -0.04883629199897882, -0.000410402399781288, -0.10886644219977551, -0.029240588733891935, -0.031074266615144477, 0.09796290913493783]","[-0.058869688175650026, 0.010525635266719454, 0.10545743889729113, -0.04713804713804713, -0.0838415003413803, -0.0023676234871965007, 0.05824406725955248]","[0.1458546893657839, 0.09681981842373023, 0.2143163330568405, -0.2239057239057239, -0.12555439991383593, -0.10602250352108597, 0.15749237141483155]",10/26/17
42,"['TEVA', 'LNCE', 'FCX']","['OCLR', 'EQM', 'CXW', 'ABBV', 'BX']",4/24/17,Blackstone Is A Buy - Cramer's Lightning Round (4/21/2017),"[['2017-04-24', '8.910000'], ['2017-04-24', '75.955704'], ['2017-04-24', '33.092361'], ['2017-04-24', '63.640003'], ['2017-04-24', '29.120192']]","[['2017-05-02', '8.190000'], ['2017-05-02', '75.477203'], ['2017-05-02', '32.646477'], ['2017-05-02', '65.578918'], ['2017-05-02', '30.268557']]","[['2017-05-26', '8.910000'], ['2017-05-26', '73.461845'], ['2017-05-26', '29.166643'], ['2017-05-26', '65.017906'], ['2017-05-26', '32.069904']]","[['2017-10-20', '8.380000'], ['2017-10-20', '72.105003'], ['2017-10-20', '26.090000'], ['2017-10-20', '95.743797'], ['2017-10-20', '34.599998']]",0.006847508,-0.009927768,0.124339191,"[-0.08080808080808088, -0.006299737541765057, -0.013473925296535945, 0.030466921882451852, 0.03943535125043138]","[0.0, -0.0328330707065792, -0.11862913014879768, 0.021651523177960822, 0.10129438706997543]","[-0.05948372615039275, -0.05069666657292783, -0.21160052617581435, 0.5044593413988369, 0.1881789103588328]",10/24/17
43,"['GNC', 'CTL', 'IONS', 'TWTR']","['ABB', 'NOC', 'RTN', 'GD', 'LMT']",4/21/17,Wait For Twitter's Earnings - Cramer's Lightning Round (4/20/2017),"[['2017-04-21', '23.320000'], ['2017-04-21', '244.473495'], ['2017-04-21', '152.622101'], ['2017-04-21', '187.397156'], ['2017-04-21', '269.735107']]","[['2017-05-01', '24.570000'], ['2017-05-01', '242.498489'], ['2017-05-01', '152.661743'], ['2017-05-01', '191.572769'], ['2017-05-01', '265.132355']]","[['2017-05-25', '25.070000'], ['2017-05-25', '254.586700'], ['2017-05-25', '161.608627'], ['2017-05-25', '199.447937'], ['2017-05-25', '278.594910']]","[['2017-10-20', '25.470100'], ['2017-10-20', '294.359985'], ['2017-10-20', '188.550003'], ['2017-10-20', '213.339996'], ['2017-10-20', '319.549988']]",-0.001267741,0.047587507,0.186567845,"[0.05360205831903945, -0.008078609912293385, 0.0002597395772976211, 0.02228215779325914, -0.017063970838619866]","[0.07504288164665524, 0.04136728605282954, 0.05888089563122989, 0.06430610398377658, 0.03284631021352367]","[0.0921998284734133, 0.20405684468985064, 0.2354043206363672, 0.13843774662193922, 0.18468074680393737]",10/21/17
44,"['JBLU', 'LUV', 'ALK', 'DAL', 'NTNX', 'CSCO']","['ZYNE', 'MDLZ']",4/20/17,Don't Sell Mondelez International - Cramer's Lightning Round (4/19/2017),"[['2017-04-20', '24.530001'], ['2017-04-20', '44.542778']]","[['2017-04-28', '20.980000'], ['2017-04-28', '44.592289']]","[['2017-05-24', '18.110001'], ['2017-05-24', '45.661793']]","[['2017-10-20', '9.715000'], ['2017-10-20', '41.044998']]",-0.050678285,-0.076744921,-0.26512298,"[-0.1447207849685778, 0.0011115382161391578]","[-0.26172033176843323, 0.02512225438655857]","[-0.6039543577678614, -0.07852631014617002]",10/20/17
45,"['AFSI', 'GIS']","['UBS', 'MTW', 'MOS']",4/14/17,It's Tough To Bet Against General Mills - Cramer's Lightning Round (4/13/2017),"[['2017-04-17', '14.909003'], ['2017-04-17', '5.540000'], ['2017-04-17', '26.973270']]","[['2017-04-25', '16.048424'], ['2017-04-25', '6.150000'], ['2017-04-25', '27.150726']]","[['2017-05-19', '16.370001'], ['2017-05-19', '5.630000'], ['2017-05-19', '23.315710']]","[['2017-10-13', '17.280001'], ['2017-10-13', '9.140000'], ['2017-10-13', '21.780001']]",0.040632321,-0.044421363,0.016400079,"[0.07642502989636533, 0.11010830324909752, 0.006578957612480778]","[0.0979943461008089, 0.016245487364620913, -0.13559942861951851]","[0.1590312913613337, 0.6498194945848377, -0.1925339048621098]",10/14/17
46,['MYL'],"['AMN', 'AMCX', 'SMG', 'CWH', 'SEMG', 'TSCO']",4/13/17,Scotts Miracle-Gro Is Showing Strength - Cramer's Lightning Round (4/12/2017),"[['2017-04-13', '40.099998'], ['2017-04-13', '58.090000'], ['2017-04-13', '92.395699'], ['2017-04-13', '29.015841'], ['2017-04-13', '33.507565'], ['2017-04-13', '62.925022']]","[['2017-04-24', '41.450001'], ['2017-04-24', '58.790001'], ['2017-04-24', '95.876358'], ['2017-04-24', '30.740143'], ['2017-04-24', '32.685589'], ['2017-04-24', '64.925468']]","[['2017-05-18', '37.849998'], ['2017-05-18', '52.169998'], ['2017-05-18', '86.353989'], ['2017-05-18', '28.976200'], ['2017-05-18', '31.487921'], ['2017-05-18', '57.678692']]","[['2017-10-13', '41.400002'], ['2017-10-13', '55.740002'], ['2017-10-13', '99.589996'], ['2017-10-13', '42.340000'], ['2017-10-13', '28.700001'], ['2017-10-13', '58.820000']]",0.026685204,-0.068085454,0.033401064,"[0.03366591190353678, 0.01205028404200367, 0.03767122320271643, 0.05942622859010007, -0.02453105738957753, 0.03179094637424198]","[-0.056109728484275735, -0.10191086245481155, -0.0653895155877331, -0.0013661847678308942, -0.06027426940752035, -0.08337430537568982]","[0.03241905398598776, -0.04045443277672588, 0.07786398152580681, 0.4592029229826563, -0.14347697303579054, -0.0652367193451279]",10/13/17
47,"['AMD', 'ESPR', 'BTU']","['BABA', 'COHR']",4/11/17,Alibaba Is Inexpensive Considering Its Growth Rate - Cramer's Lightning Round (4/10/2017),"[['2017-04-11', '110.440002'], ['2017-04-11', '199.250000']]","[['2017-04-20', '112.959999'], ['2017-04-20', '205.380005']]","[['2017-05-16', '124.019997'], ['2017-05-16', '259.890015']]","[['2017-10-11', '184.690002'], ['2017-10-11', '247.990005']]",0.027931163,0.239659045,0.397139088,"[0.022817792053281466, 0.030765395232120508]","[0.12296264717561302, 0.30434135508155585]","[0.6723107447969802, 0.24461734002509408]",10/11/17
